"Month";"Category";"TotalSales"
"2001-01";"Clothing";"7255.22"
"2001-01";"Electronics";"2772.56"
"2001-03";"Electronics";"670.44"
"2001-04";"Electronics";"32790.31"
"2001-04";"Furniture";"8849.80"
"2001-04";"Beauty";"222.38"
"2001-05";"Electronics";"13983.90"
"2001-07";"Furniture";"27788.44"
"2001-07";"Beauty";"13172.96"
"2001-09";"Groceries";"10380.55"
"2001-10";"Electronics";"1875.33"
"2001-10";"Furniture";"1005.67"
"2001-11";"Beauty";"20235.54"
"2001-12";"Beauty";"5089.64"
"2002-01";"Furniture";"5660.10"
"2002-02";"Groceries";"15522.70"
"2002-02";"Electronics";"4060.88"
"2002-03";"Furniture";"33537.28"
"2002-03";"Clothing";"6859.24"
"2002-04";"Electronics";"23568.54"
"2002-04";"Clothing";"11529.52"
"2002-05";"Electronics";"18143.48"
"2002-05";"Groceries";"4988.57"
"2002-06";"Furniture";"13956.53"
"2002-07";"Electronics";"936.45"
"2002-08";"Furniture";"7079.40"
"2002-10";"Furniture";"25347.84"
"2002-10";"Beauty";"18164.16"
"2002-11";"Beauty";"2562.49"
"2002-12";"Beauty";"8288.04"
"2003-02";"Clothing";"25942.15"
"2003-02";"Furniture";"17023.72"
"2003-03";"Beauty";"37283.20"
"2003-04";"Clothing";"17908.52"
"2003-05";"Electronics";"17476.24"
"2003-05";"Clothing";"10749.51"
"2003-06";"Furniture";"43768.50"
"2003-09";"Groceries";"16664.20"
"2003-11";"Clothing";"4683.24"
"2004-01";"Groceries";"43133.60"
"2004-01";"Beauty";"9138.00"
"2004-02";"Clothing";"58201.60"
"2004-02";"Electronics";"43504.60"
"2004-02";"Groceries";"15243.27"
"2004-03";"Furniture";"8154.88"
"2004-03";"Beauty";"4730.94"
"2004-04";"Groceries";"38207.22"
"2004-04";"Beauty";"4339.62"
"2004-04";"Furniture";"3922.60"
"2004-05";"Electronics";"13800.48"
"2004-05";"Groceries";"2358.42"
"2004-07";"Clothing";"12359.75"
"2004-07";"Furniture";"9661.32"
"2004-07";"Electronics";"5546.62"
"2004-08";"Furniture";"26735.10"
"2004-09";"Groceries";"44551.00"
"2004-09";"Beauty";"8208.69"
"2004-11";"Electronics";"23038.62"
"2004-12";"Beauty";"3430.41"
"2005-01";"Clothing";"9723.42"
"2005-02";"Groceries";"25125.20"
"2005-02";"Beauty";"8749.24"
"2005-02";"Electronics";"2990.50"
"2005-03";"Clothing";"5431.41"
"2005-05";"Clothing";"18175.39"
"2005-05";"Electronics";"6509.85"
"2005-06";"Beauty";"9274.92"
"2005-06";"Electronics";"6331.43"
"2005-07";"Beauty";"19284.56"
"2005-08";"Electronics";"43924.86"
"2005-08";"Groceries";"11148.54"
"2005-11";"Groceries";"1640.55"
"2005-12";"Electronics";"6850.92"
"2006-01";"Beauty";"13287.15"
"2006-01";"Furniture";"11421.04"
"2006-02";"Beauty";"38318.49"
"2006-02";"Clothing";"1088.35"
"2006-03";"Beauty";"44772.57"
"2006-03";"Groceries";"2138.16"
"2006-04";"Clothing";"36305.60"
"2006-04";"Electronics";"26764.09"
"2006-05";"Groceries";"25344.18"
"2006-05";"Furniture";"18021.36"
"2006-06";"Groceries";"8278.65"
"2006-07";"Electronics";"49321.40"
"2006-10";"Electronics";"23335.02"
"2006-11";"Clothing";"24966.18"
"2006-12";"Beauty";"1919.68"
"2007-01";"Clothing";"33021.20"
"2007-01";"Electronics";"10363.64"
"2007-01";"Beauty";"1256.26"
"2007-02";"Electronics";"14550.40"
"2007-02";"Clothing";"1533.18"
"2007-03";"Electronics";"37316.97"
"2007-03";"Beauty";"23357.95"
"2007-04";"Furniture";"28708.89"
"2007-04";"Groceries";"9939.12"
"2007-05";"Furniture";"12377.85"
"2007-05";"Clothing";"3990.62"
"2007-06";"Groceries";"3914.89"
"2007-10";"Clothing";"8289.30"
"2007-11";"Beauty";"9062.24"
"2007-11";"Groceries";"8944.76"
"2007-12";"Furniture";"15886.50"
"2007-12";"Clothing";"4195.47"
"2007-12";"Beauty";"501.56"
"2008-01";"Beauty";"47205.42"
"2008-01";"Electronics";"14507.32"
"2008-01";"Groceries";"9709.90"
"2008-02";"Furniture";"37062.09"
"2008-03";"Electronics";"9514.22"
"2008-03";"Groceries";"9470.05"
"2008-04";"Electronics";"28109.83"
"2008-04";"Beauty";"17665.60"
"2008-04";"Groceries";"15873.54"
"2008-08";"Electronics";"4779.28"
"2008-11";"Groceries";"7213.52"
"2008-12";"Electronics";"22942.85"
"2009-01";"Beauty";"8350.98"
"2009-01";"Groceries";"4992.64"
"2009-02";"Electronics";"15363.80"
"2009-03";"Groceries";"49755.05"
"2009-04";"Electronics";"9730.30"
"2009-04";"Beauty";"960.34"
"2009-05";"Furniture";"5765.16"
"2009-06";"Beauty";"14833.80"
"2009-06";"Groceries";"11079.08"
"2009-06";"Electronics";"3743.62"
"2009-07";"Clothing";"7507.86"
"2009-09";"Electronics";"19562.30"
"2009-10";"Clothing";"2071.11"
"2009-11";"Groceries";"42989.55"
"2009-11";"Electronics";"13441.92"
"2009-12";"Beauty";"13558.60"
"2010-01";"Furniture";"21808.90"
"2010-01";"Clothing";"6602.84"
"2010-01";"Beauty";"2959.16"
"2010-02";"Furniture";"7134.96"
"2010-03";"Furniture";"17098.69"
"2010-06";"Electronics";"3049.29"
"2010-09";"Groceries";"19036.84"
"2010-11";"Groceries";"12448.68"
"2010-12";"Beauty";"7220.84"
"2011-01";"Groceries";"26547.29"
"2011-01";"Beauty";"10248.00"
"2011-02";"Beauty";"42798.30"
"2011-02";"Clothing";"13346.48"
"2011-04";"Groceries";"28596.15"
"2011-04";"Beauty";"3035.77"
"2011-05";"Groceries";"17221.30"
"2011-05";"Furniture";"4777.52"
"2011-05";"Beauty";"3683.85"
"2011-05";"Electronics";"2769.72"
"2011-06";"Electronics";"39700.64"
"2011-06";"Furniture";"29576.24"
"2011-08";"Furniture";"8070.85"
"2011-09";"Groceries";"28474.64"
"2011-11";"Furniture";"42483.10"
"2011-11";"Clothing";"3752.95"
"2011-12";"Beauty";"12122.16"
"2012-01";"Clothing";"34327.05"
"2012-02";"Furniture";"11560.71"
"2012-03";"Clothing";"41550.32"
"2012-03";"Electronics";"25506.36"
"2012-03";"Furniture";"9463.20"
"2012-03";"Beauty";"2499.24"
"2012-05";"Groceries";"11574.45"
"2012-05";"Clothing";"4360.80"
"2012-05";"Beauty";"272.34"
"2012-07";"Electronics";"19797.76"
"2012-08";"Clothing";"16925.04"
"2012-09";"Electronics";"29453.52"
"2012-09";"Furniture";"8185.14"
"2012-10";"Groceries";"40575.33"
"2012-10";"Electronics";"2803.97"
"2012-11";"Groceries";"1217.10"
"2013-01";"Clothing";"63292.34"
"2013-01";"Groceries";"9632.32"
"2013-03";"Beauty";"2889.54"
"2013-03";"Groceries";"949.75"
"2013-04";"Furniture";"628.48"
"2013-06";"Clothing";"22862.85"
"2013-07";"Electronics";"36890.60"
"2013-07";"Beauty";"4023.64"
"2013-08";"Furniture";"8936.73"
"2013-10";"Groceries";"68279.21"
"2014-01";"Beauty";"33839.28"
"2014-01";"Clothing";"15702.56"
"2014-01";"Groceries";"13907.12"
"2014-02";"Beauty";"51760.25"
"2014-02";"Electronics";"40973.85"
"2014-02";"Clothing";"20065.40"
"2014-03";"Electronics";"32096.96"
"2014-04";"Groceries";"7262.44"
"2014-05";"Electronics";"19722.32"
"2014-06";"Electronics";"17279.28"
"2014-06";"Groceries";"8425.04"
"2014-06";"Clothing";"4263.45"
"2014-08";"Electronics";"42125.49"
"2014-09";"Electronics";"14267.20"
"2014-10";"Furniture";"28556.04"
"2014-11";"Beauty";"2094.39"
"2014-12";"Furniture";"35299.51"
"2015-01";"Furniture";"742.36"
"2015-02";"Clothing";"13610.92"
"2015-03";"Clothing";"66522.81"
"2015-03";"Furniture";"15817.45"
"2015-03";"Beauty";"6420.06"
"2015-04";"Beauty";"8491.08"
"2015-04";"Furniture";"1698.96"
"2015-04";"Clothing";"1508.60"
"2015-06";"Clothing";"1614.16"
"2015-07";"Electronics";"23905.35"
"2015-11";"Furniture";"2648.10"
"2015-12";"Beauty";"7541.46"
"2016-01";"Furniture";"8103.27"
"2016-01";"Clothing";"2959.63"
"2016-02";"Furniture";"13165.84"
"2016-03";"Electronics";"8850.15"
"2016-03";"Furniture";"6526.00"
"2016-03";"Groceries";"6199.54"
"2016-04";"Electronics";"30881.07"
"2016-05";"Clothing";"4757.55"
"2016-05";"Groceries";"2746.40"
"2016-06";"Electronics";"20280.10"
"2016-06";"Groceries";"3974.00"
"2016-07";"Furniture";"34857.72"
"2016-08";"Electronics";"29199.60"
"2016-08";"Furniture";"9170.49"
"2016-10";"Clothing";"45431.40"
"2016-10";"Electronics";"16613.04"
"2016-10";"Groceries";"3855.46"
"2016-12";"Furniture";"6681.54"
"2017-01";"Beauty";"37784.56"
"2017-02";"Electronics";"49928.13"
"2017-03";"Groceries";"981.78"
"2017-04";"Furniture";"19105.17"
"2017-05";"Furniture";"7680.30"
"2017-05";"Clothing";"3001.11"
"2017-06";"Beauty";"26369.70"
"2017-06";"Clothing";"3989.60"
"2017-06";"Furniture";"1826.12"
"2017-07";"Electronics";"20762.84"
"2017-08";"Groceries";"3511.71"
"2017-10";"Electronics";"34308.18"
"2017-10";"Furniture";"4594.25"
"2017-11";"Furniture";"7239.15"
"2017-12";"Furniture";"3205.32"
"2018-01";"Electronics";"53302.50"
"2018-02";"Electronics";"2141.10"
"2018-03";"Groceries";"3363.43"
"2018-03";"Furniture";"3093.58"
"2018-04";"Clothing";"34885.71"
"2018-05";"Furniture";"3172.08"
"2018-06";"Clothing";"7232.82"
"2018-06";"Furniture";"1589.10"
"2018-06";"Beauty";"881.58"
"2018-07";"Beauty";"7053.56"
"2018-08";"Electronics";"22234.40"
"2018-08";"Beauty";"1648.70"
"2018-09";"Clothing";"47641.37"
"2018-09";"Furniture";"4185.72"
"2018-10";"Beauty";"9779.50"
"2018-11";"Groceries";"18023.22"
"2018-11";"Clothing";"2276.60"
"2018-12";"Clothing";"49350.50"
"2018-12";"Furniture";"2108.08"
"2019-01";"Clothing";"16847.22"
"2019-01";"Electronics";"3045.52"
"2019-02";"Electronics";"6760.16"
"2019-03";"Electronics";"23292.08"
"2019-03";"Furniture";"13675.05"
"2019-05";"Clothing";"4351.52"
"2019-07";"Beauty";"28527.50"
"2019-07";"Groceries";"26256.32"
"2019-08";"Electronics";"44556.42"
"2019-08";"Clothing";"6485.78"
"2019-08";"Furniture";"417.68"
"2019-10";"Furniture";"44741.06"
"2019-10";"Electronics";"1841.60"
"2020-01";"Beauty";"20030.76"
"2020-02";"Electronics";"20239.31"
"2020-02";"Groceries";"12360.06"
"2020-03";"Clothing";"1619.64"
"2020-04";"Furniture";"34927.34"
"2020-04";"Electronics";"12089.70"
"2020-10";"Furniture";"2277.40"
"2020-10";"Clothing";"1314.58"
"2020-11";"Groceries";"6266.66"
