"Month";"Region";"TotalSales"
"2001-01";"East";"7255.22"
"2001-01";"West";"2772.56"
"2001-03";"South";"670.44"
"2001-04";"East";"30590.56"
"2001-04";"North";"2199.75"
"2001-04";"South";"8849.80"
"2001-04";"West";"222.38"
"2001-05";"East";"13983.90"
"2001-07";"East";"14666.04"
"2001-07";"South";"13172.96"
"2001-07";"West";"13122.40"
"2001-09";"East";"10380.55"
"2001-10";"East";"1875.33"
"2001-10";"South";"1005.67"
"2001-11";"East";"20235.54"
"2001-12";"East";"5089.64"
"2002-01";"North";"5660.10"
"2002-02";"East";"4060.88"
"2002-02";"West";"15522.70"
"2002-03";"North";"30640.34"
"2002-03";"South";"9756.18"
"2002-04";"East";"20844.46"
"2002-04";"North";"14253.60"
"2002-05";"East";"4988.57"
"2002-05";"North";"18143.48"
"2002-06";"North";"13956.53"
"2002-07";"South";"936.45"
"2002-08";"East";"7079.40"
"2002-10";"East";"18164.16"
"2002-10";"South";"25347.84"
"2002-11";"West";"2562.49"
"2002-12";"West";"8288.04"
"2003-02";"North";"17023.72"
"2003-02";"West";"25942.15"
"2003-03";"East";"37283.20"
"2003-04";"West";"17908.52"
"2003-05";"South";"17476.24"
"2003-05";"West";"10749.51"
"2003-06";"West";"43768.50"
"2003-09";"South";"16664.20"
"2003-11";"South";"4683.24"
"2004-01";"North";"9138.00"
"2004-01";"South";"43133.60"
"2004-02";"East";"22217.40"
"2004-02";"South";"58747.87"
"2004-02";"West";"35984.20"
"2004-03";"East";"12885.82"
"2004-04";"North";"4339.62"
"2004-04";"South";"38732.06"
"2004-04";"West";"3397.76"
"2004-05";"South";"16158.90"
"2004-07";"East";"17906.37"
"2004-07";"South";"9661.32"
"2004-08";"West";"26735.10"
"2004-09";"North";"44551.00"
"2004-09";"West";"8208.69"
"2004-11";"East";"23038.62"
"2004-12";"West";"3430.41"
"2005-01";"North";"9723.42"
"2005-02";"East";"2054.60"
"2005-02";"South";"26061.10"
"2005-02";"West";"8749.24"
"2005-03";"North";"5431.41"
"2005-05";"East";"19860.60"
"2005-05";"North";"4824.64"
"2005-06";"North";"15606.35"
"2005-07";"North";"19284.56"
"2005-08";"East";"43924.86"
"2005-08";"South";"11148.54"
"2005-11";"North";"1640.55"
"2005-12";"West";"6850.92"
"2006-01";"East";"24708.19"
"2006-02";"North";"1088.35"
"2006-02";"South";"38318.49"
"2006-03";"East";"2138.16"
"2006-03";"South";"44772.57"
"2006-04";"East";"26137.38"
"2006-04";"North";"36305.60"
"2006-04";"South";"626.71"
"2006-05";"East";"1263.06"
"2006-05";"South";"42102.48"
"2006-06";"North";"8278.65"
"2006-07";"South";"49321.40"
"2006-10";"East";"23335.02"
"2006-11";"West";"24966.18"
"2006-12";"West";"1919.68"
"2007-01";"East";"34277.46"
"2007-01";"North";"10363.64"
"2007-02";"North";"14550.40"
"2007-02";"West";"1533.18"
"2007-03";"North";"60674.92"
"2007-04";"East";"26048.19"
"2007-04";"West";"12599.82"
"2007-05";"East";"12220.32"
"2007-05";"North";"157.53"
"2007-05";"South";"3990.62"
"2007-06";"South";"3914.89"
"2007-10";"North";"8289.30"
"2007-11";"North";"9062.24"
"2007-11";"South";"8944.76"
"2007-12";"South";"15886.50"
"2007-12";"West";"4697.03"
"2008-01";"East";"481.02"
"2008-01";"North";"6714.90"
"2008-01";"West";"64226.72"
"2008-02";"South";"37062.09"
"2008-03";"East";"15429.52"
"2008-03";"South";"3554.75"
"2008-04";"North";"17665.60"
"2008-04";"South";"15873.54"
"2008-04";"West";"28109.83"
"2008-08";"East";"4779.28"
"2008-11";"South";"7213.52"
"2008-12";"South";"22942.85"
"2009-01";"East";"5767.98"
"2009-01";"North";"4292.26"
"2009-01";"South";"3283.38"
"2009-02";"East";"15363.80"
"2009-03";"East";"12685.92"
"2009-03";"North";"37069.13"
"2009-04";"West";"10690.64"
"2009-05";"West";"5765.16"
"2009-06";"East";"11079.08"
"2009-06";"South";"18577.42"
"2009-07";"South";"7507.86"
"2009-09";"West";"19562.30"
"2009-10";"East";"2071.11"
"2009-11";"East";"14265.69"
"2009-11";"South";"13441.92"
"2009-11";"West";"28723.86"
"2009-12";"North";"13558.60"
"2010-01";"North";"5406.94"
"2010-01";"West";"25963.96"
"2010-02";"North";"7134.96"
"2010-03";"North";"17098.69"
"2010-06";"North";"3049.29"
"2010-09";"West";"19036.84"
"2010-11";"North";"12448.68"
"2010-12";"East";"7220.84"
"2011-01";"East";"26547.29"
"2011-01";"North";"10248.00"
"2011-02";"East";"13346.48"
"2011-02";"West";"42798.30"
"2011-04";"East";"31631.92"
"2011-05";"East";"2769.72"
"2011-05";"North";"4777.52"
"2011-05";"South";"20905.15"
"2011-06";"South";"39700.64"
"2011-06";"West";"29576.24"
"2011-08";"East";"8070.85"
"2011-09";"South";"28474.64"
"2011-11";"West";"46236.05"
"2011-12";"East";"7753.84"
"2011-12";"North";"4368.32"
"2012-01";"North";"30072.45"
"2012-01";"West";"4254.60"
"2012-02";"East";"11560.71"
"2012-03";"East";"25506.36"
"2012-03";"North";"9463.20"
"2012-03";"South";"41550.32"
"2012-03";"West";"2499.24"
"2012-05";"East";"8157.15"
