"Month";"SalesChannel";"TotalSales"
"2001-01";"Offline";"2772.56"
"2001-01";"Online";"7255.22"
"2001-03";"Online";"670.44"
"2001-04";"Offline";"8849.80"
"2001-04";"Online";"33012.69"
"2001-05";"Offline";"13983.90"
"2001-07";"Offline";"14666.04"
"2001-07";"Online";"26295.36"
"2001-09";"Offline";"10380.55"
"2001-10";"Offline";"1875.33"
"2001-10";"Online";"1005.67"
"2001-11";"Online";"20235.54"
"2001-12";"Offline";"5089.64"
"2002-01";"Online";"5660.10"
"2002-02";"Offline";"15522.70"
"2002-02";"Online";"4060.88"
"2002-03";"Offline";"23781.10"
"2002-03";"Online";"16615.42"
"2002-04";"Offline";"9314.94"
"2002-04";"Online";"25783.12"
"2002-05";"Offline";"18143.48"
"2002-05";"Online";"4988.57"
"2002-06";"Online";"13956.53"
"2002-07";"Offline";"936.45"
"2002-08";"Online";"7079.40"
"2002-10";"Online";"43512.00"
"2002-11";"Offline";"2562.49"
"2002-12";"Offline";"8288.04"
"2003-02";"Online";"42965.87"
"2003-03";"Online";"37283.20"
"2003-04";"Offline";"17908.52"
"2003-05";"Offline";"17476.24"
"2003-05";"Online";"10749.51"
"2003-06";"Offline";"43768.50"
"2003-09";"Offline";"16664.20"
"2003-11";"Online";"4683.24"
"2004-01";"Online";"52271.60"
"2004-02";"Offline";"35984.20"
"2004-02";"Online";"80965.27"
"2004-03";"Online";"12885.82"
"2004-04";"Offline";"42129.82"
"2004-04";"Online";"4339.62"
"2004-05";"Offline";"2358.42"
"2004-05";"Online";"13800.48"
"2004-07";"Offline";"15207.94"
"2004-07";"Online";"12359.75"
"2004-08";"Online";"26735.10"
"2004-09";"Offline";"8208.69"
"2004-09";"Online";"44551.00"
"2004-11";"Online";"23038.62"
"2004-12";"Online";"3430.41"
"2005-01";"Online";"9723.42"
"2005-02";"Offline";"13794.34"
"2005-02";"Online";"23070.60"
"2005-03";"Online";"5431.41"
"2005-05";"Offline";"4824.64"
"2005-05";"Online";"19860.60"
"2005-06";"Offline";"9274.92"
"2005-06";"Online";"6331.43"
"2005-07";"Offline";"19284.56"
"2005-08";"Offline";"43924.86"
"2005-08";"Online";"11148.54"
"2005-11";"Online";"1640.55"
"2005-12";"Online";"6850.92"
"2006-01";"Offline";"13287.15"
"2006-01";"Online";"11421.04"
"2006-02";"Offline";"1088.35"
"2006-02";"Online";"38318.49"
"2006-03";"Offline";"46910.73"
"2006-04";"Offline";"26137.38"
"2006-04";"Online";"36932.31"
"2006-05";"Offline";"1263.06"
"2006-05";"Online";"42102.48"
"2006-06";"Online";"8278.65"
"2006-07";"Online";"49321.40"
"2006-10";"Online";"23335.02"
"2006-11";"Online";"24966.18"
"2006-12";"Online";"1919.68"
"2007-01";"Online";"44641.10"
"2007-02";"Online";"16083.58"
"2007-03";"Offline";"60674.92"
"2007-04";"Offline";"28708.89"
"2007-04";"Online";"9939.12"
"2007-05";"Offline";"16210.94"
"2007-05";"Online";"157.53"
"2007-06";"Offline";"3914.89"
"2007-10";"Offline";"8289.30"
"2007-11";"Offline";"9062.24"
"2007-11";"Online";"8944.76"
"2007-12";"Offline";"16388.06"
"2007-12";"Online";"4195.47"
"2008-01";"Offline";"56915.32"
"2008-01";"Online";"14507.32"
"2008-02";"Offline";"34871.30"
"2008-02";"Online";"2190.79"
"2008-03";"Offline";"13024.80"
"2008-03";"Online";"5959.47"
"2008-04";"Offline";"33539.14"
"2008-04";"Online";"28109.83"
"2008-08";"Online";"4779.28"
"2008-11";"Offline";"7213.52"
"2008-12";"Offline";"22942.85"
"2009-01";"Online";"13343.62"
"2009-02";"Offline";"15363.80"
"2009-03";"Offline";"12630.03"
"2009-03";"Online";"37125.02"
"2009-04";"Online";"10690.64"
"2009-05";"Offline";"5765.16"
"2009-06";"Online";"29656.50"
"2009-07";"Offline";"7507.86"
"2009-09";"Offline";"19562.30"
"2009-10";"Online";"2071.11"
"2009-11";"Offline";"14265.69"
"2009-11";"Online";"42165.78"
"2009-12";"Offline";"13558.60"
"2010-01";"Offline";"9562.00"
"2010-01";"Online";"21808.90"
"2010-02";"Offline";"7134.96"
"2010-03";"Online";"17098.69"
"2010-06";"Online";"3049.29"
"2010-09";"Offline";"19036.84"
"2010-11";"Online";"12448.68"
"2010-12";"Offline";"7220.84"
"2011-01";"Offline";"26547.29"
"2011-01";"Online";"10248.00"
"2011-02";"Offline";"13346.48"
"2011-02";"Online";"42798.30"
"2011-04";"Offline";"28596.15"
"2011-04";"Online";"3035.77"
"2011-05";"Offline";"24768.54"
"2011-05";"Online";"3683.85"
"2011-06";"Offline";"69276.88"
"2011-08";"Online";"8070.85"
"2011-09";"Offline";"28474.64"
"2011-11";"Online";"46236.05"
"2011-12";"Online";"12122.16"
"2012-01";"Offline";"20044.50"
"2012-01";"Online";"14282.55"
"2012-02";"Offline";"11560.71"
"2012-03";"Offline";"60426.44"
"2012-03";"Online";"18592.68"
"2012-05";"Offline";"8157.15"
"2012-05";"Online";"8050.44"
"2012-07";"Offline";"19797.76"
"2012-08";"Offline";"16925.04"
"2012-09";"Online";"37638.66"
"2012-10";"Offline";"40575.33"
"2012-10";"Online";"2803.97"
"2012-11";"Offline";"1217.10"
"2013-01";"Offline";"52022.36"
"2013-01";"Online";"20902.30"
"2013-03";"Offline";"3839.29"
"2013-04";"Online";"628.48"
"2013-06";"Online";"22862.85"
"2013-07";"Offline";"4023.64"
"2013-07";"Online";"36890.60"
"2013-08";"Offline";"8936.73"
"2013-10";"Offline";"37784.48"
"2013-10";"Online";"30494.73"
"2014-01";"Offline";"29609.68"
"2014-01";"Online";"33839.28"
"2014-02";"Offline";"92734.10"
"2014-02";"Online";"20065.40"
"2014-03";"Offline";"32096.96"
"2014-04";"Offline";"7262.44"
"2014-05";"Offline";"19722.32"
"2014-06";"Offline";"10401.66"
"2014-06";"Online";"19566.11"
"2014-08";"Online";"42125.49"
"2014-09";"Offline";"14267.20"
"2014-10";"Offline";"28556.04"
"2014-11";"Online";"2094.39"
"2014-12";"Online";"35299.51"
"2015-01";"Offline";"742.36"
"2015-02";"Offline";"13610.92"
