TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T0001,04-01-24,Bread,Groceries,South,Online,10,4313.36,43133.6,Net Banking,C4632
T0002,29-12-24,Eggs,Groceries,West,Offline,2,3114.98,6229.96,UPI,C1247
T0003,09-01-25,Lipstick,Beauty,East,Online,6,961.33,5767.98,Cash,C4047
T0004,28-03-25,Milk,Groceries,West,Online,3,543.5,1630.5,Net Banking,C8188
T0005,23-04-25,Headphones,Electronics,South,Online,3,4064.11,12192.33,UPI,C1073
T0006,04-09-24,Rice,Groceries,North,Online,10,4455.1,44551,Cash,C9429
T0007,24-04-24,Jacket,Clothing,North,Offline,2,4102.44,8204.88,UPI,C7789
T0008,21-06-24,Smartphone,Electronics,East,Offline,6,3166.37,18998.22,Cash,C3603
T0009,08-04-25,Tea,Groceries,South,Offline,3,3939.75,11819.25,Cash,C6150
T0010,06-02-24,T-Shirt,Clothing,North,Offline,5,217.67,1088.35,Net Banking,C9761
T0011,21-03-25,Cupboard,Furniture,North,Online,8,2875.91,23007.28,Net Banking,C8733
T0012,17-07-24,Headphones,Electronics,South,Offline,7,2966.12,20762.84,UPI,C4951
T0013,07-04-25,Cupboard,Furniture,West,Offline,2,1330.35,2660.7,Credit Card,C7249
T0014,17-04-24,Table,Furniture,South,Offline,7,2729.31,19105.17,Cash,C7746
T0015,21-10-24,Bed,Furniture,South,Offline,8,1822.01,14576.08,UPI,C9390
T0016,29-02-24,Smartphone,Electronics,East,Offline,7,2339.21,16374.47,Cash,C4189
T0017,16-07-24,Sofa,Furniture,North,Online,8,1227.55,9820.4,UPI,C1973
T0018,03-02-25,Jeans,Clothing,West,Online,1,2230.57,2230.57,Net Banking,C1556
T0019,15-02-25,T-Shirt,Clothing,South,Offline,4,3402.73,13610.92,Credit Card,C4054
T0020,29-11-24,Perfume,Beauty,East,Online,3,680.44,2041.32,Cash,C9850
T0021,03-02-24,Cupboard,Furniture,North,Online,4,4255.93,17023.72,Net Banking,C8709
T0022,15-03-25,Face Wash,Beauty,South,Offline,1,4663.44,4663.44,UPI,C3605
T0023,26-11-24,Sofa,Furniture,South,Online,2,1199.46,2398.92,Credit Card,C9537
T0024,24-01-25,Jacket,Clothing,South,Online,7,3284.49,22991.43,Cash,C3164
T0025,14-01-25,Eggs,Groceries,North,Offline,8,1738.39,13907.12,Credit Card,C3795
T0026,16-05-24,Dress,Clothing,East,Offline,1,4757.55,4757.55,Cash,C8048
T0027,16-05-24,Milk,Groceries,North,Online,10,274.64,2746.4,Net Banking,C5441
T0028,30-09-24,Sofa,Furniture,South,Online,7,258.39,1808.73,Net Banking,C3702
